Price,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,c_DBSCAN,c_BIRCH,pca1,pca2,diff1,diff2,d_m3,d_m12,exp_0_05,exp_0_03,exp_0_08
257.738,1979,5,31,2,151,22,3,0,0,-0.6465764474864947,0.5239470916544116,0.0,0.0,,,257.738,257.738,257.738
279.36,1979,6,30,2,181,26,5,0,0,-0.4362253900237,-0.6441275444906516,21.621999740600586,0.0,,,258.8191,258.38666,259.46776
295.009,1979,7,31,3,212,31,1,1,2,0.6534473916843008,1.4426247558435594,15.64900016784668,15.64900016784668,277.36899999999997,,260.628595,259.4853302,262.31105920000005
300.793,1979,8,31,3,243,35,4,1,2,1.0838163267335155,-0.003650168944386448,5.783999919891357,-15.83799934387207,291.72066666666666,,262.63681525000004,260.724560294,265.38961446400003
354.49800000000005,1979,9,30,3,273,39,6,1,2,1.2941673841963235,-1.1717248050894524,53.70500183105469,38.055999755859375,316.7666666666667,,267.2298744875,263.53776348518,272.51828530688005
390.959,1979,10,31,4,304,44,2,1,2,2.3838401659043105,0.9150274952447603,36.46099853515625,30.676998138427734,348.75,,273.416330763125,267.36040058062457,281.99354248232964
391.51800000000003,1979,11,30,4,334,48,4,1,2,2.59419122336712,-0.2530471409003013,0.5590000152587891,-53.14600372314453,378.9916666666666,,279.32141422496875,271.08512856320584,290.7554990837433
463.666,1979,12,31,4,365,1,0,1,2,1.6925461836125861,2.3102774289761747,72.14800262451172,35.68700408935547,415.3809999999999,,288.53864351372033,276.86255470630965,304.58833915704383
674.58,1980,1,31,1,31,5,3,0,0,-2.7752311609385587,0.5814150158380127,210.91400146484375,210.35499572753906,509.9213333333333,,307.8407113380343,288.79407806512035,334.1876720244804
665.893,1980,2,29,1,60,9,4,0,0,-2.784897981062156,-0.30845933166417117,-8.687000274658203,-80.83500671386719,601.3796666666667,,325.74332577113256,300.1070457231667,360.7240982625219
554.276,1980,3,31,1,91,14,0,0,0,-1.9387485090162846,1.9480760027529924,-111.61699676513672,-322.531005859375,631.583,,337.1699594825759,307.73211435147175,376.2082504015202
516.71,1980,4,30,2,121,18,2,0,0,-1.2745984250345646,0.8061392787121173,-37.566001892089844,-28.87900161743164,578.9596666666666,428.75,346.14696150844713,314.0014509209276,387.4483903693986
514.268,1980,5,31,2,152,22,5,0,0,-0.6339537731285552,-0.4442146998886876,-2.441999912261963,109.17499542236328,528.418,450.1275,354.5530134330247,320.00944739329975,397.59395913984673
600.786,1980,6,30,2,182,27,0,0,0,-0.4283736123826805,1.6986790307970745,86.51799774169922,124.08399963378906,543.9213333333333,476.913,366.86466276137344,328.4327439715007,413.849322408659
645.75,1980,7,31,3,213,31,3,0,0,0.6660700660422405,0.4744629643004593,44.9640007019043,47.406002044677734,586.9346666666667,506.14141666666666,380.8089296233048,337.9522616523557,432.40137661596634
626.36,1980,8,31,3,244,35,6,0,0,1.0964390010914549,-0.9718119604874873,-19.389999389648438,-105.90799713134766,624.2986666666667,533.272,393.0864831421395,346.604493802785,447.9180664866891
673.941,1980,9,30,3,274,40,1,0,0,1.3020191618373294,1.171081770198275,47.58100128173828,2.6170005798339844,648.6836666666668,559.89225,407.1292089850325,356.42458898870143,465.999901167754
662.27,1980,10,31,4,305,44,4,0,0,2.3964628402622505,-0.053134296298340246,-11.670999526977539,7.718999862670898,654.1903333333335,582.5015000000001,419.88624853578085,365.59995131904043,481.7015090743337
623.875,1980,11,30,4,335,48,6,0,0,2.6068138977250594,-1.2212089324434054,-38.39500045776367,-85.97599792480469,653.3620000000001,601.8645833333334,430.0856861089918,373.3482027794692,493.0753883483871
596.712,1980,12,31,4,366,1,2,0,0,1.7051688579705246,1.342115637433075,-27.163000106811523,-15.492000579833984,627.619,612.9517500000001,438.4170018035422,380.04911669608515,501.36631728051617
557.813,1981,1,31,1,31,5,5,0,0,-2.76744513790302,-0.38700209377849754,-38.89899826049805,-0.503997802734375,592.8000000000001,603.2211666666668,444.38680171336506,385.3820331952026,505.8820518980749
500.8,1981,2,28,1,59,9,5,0,0,-2.997129835613023,-0.9986761526378,-57.01300048828125,-29.850000381469727,551.7750000000001,589.4634166666668,447.20746162769683,388.84457219934654,505.47548774622896
499.69300000000004,1981,3,31,1,90,14,1,0,0,-1.940704646710356,1.4537801279665052,-1.1069999933242798,37.79199981689453,519.4353333333335,584.9148333333335,449.83173854631195,392.17002503336613,505.01288872653066
